task_family,difficulty_bucket,answer_magnitude_bucket,reasoning_length_bucket,count,failures,error_rate
multiplicative_relation,easy,medium,short,2,1,0.5
multiplicative_relation,easy,small,short,7,1,0.1429
multiplicative_relation,hard,large,long,7,5,0.7143
multiplicative_relation,hard,medium,long,1,0,0.0
multiplicative_relation,medium,large,medium,4,2,0.5
multiplicative_relation,medium,medium,medium,2,1,0.5
multiplicative_relation,medium,small,medium,2,1,0.5
ratio_change,easy,medium,short,4,0,0.0
ratio_change,easy,small,short,5,1,0.2
ratio_change,hard,medium,long,3,0,0.0
ratio_change,hard,small,long,5,3,0.6
ratio_change,medium,medium,medium,3,1,0.3333
ratio_change,medium,small,medium,5,2,0.4
temporal_numeric_constraint,easy,medium,long,5,0,0.0
temporal_numeric_constraint,easy,small,long,4,0,0.0
temporal_numeric_constraint,hard,medium,long,5,5,1.0
temporal_numeric_constraint,hard,small,long,3,3,1.0
temporal_numeric_constraint,medium,medium,long,6,3,0.5
temporal_numeric_constraint,medium,small,long,2,1,0.5
weighted_aggregation,easy,small,long,9,3,0.3333
weighted_aggregation,hard,small,long,8,4,0.5
weighted_aggregation,medium,small,long,8,4,0.5
