task_family,difficulty_bucket,answer_magnitude_bucket,reasoning_length_bucket,count,failures,error_rate
multiplicative_relation,easy,medium,short,1,0,0.0
multiplicative_relation,easy,small,short,1,0,0.0
multiplicative_relation,hard,large,long,2,0,0.0
multiplicative_relation,medium,large,medium,1,0,0.0
multiplicative_relation,medium,small,medium,1,1,1.0
ratio_change,easy,medium,short,1,0,0.0
ratio_change,easy,small,short,2,0,0.0
ratio_change,hard,medium,long,2,0,0.0
ratio_change,medium,medium,medium,1,0,0.0
ratio_change,medium,small,medium,1,0,0.0
temporal_numeric_constraint,easy,medium,long,1,0,0.0
temporal_numeric_constraint,easy,small,long,1,0,0.0
temporal_numeric_constraint,hard,medium,long,2,2,1.0
temporal_numeric_constraint,medium,medium,long,2,0,0.0
weighted_aggregation,easy,small,long,2,1,0.5
weighted_aggregation,hard,small,long,2,2,1.0
weighted_aggregation,medium,small,long,2,0,0.0
