task_family,difficulty_bucket,answer_magnitude_bucket,reasoning_length_bucket,error_type,count,failures,error_rate
multiplicative_relation,easy,medium,short,correct,1,0,0.0
multiplicative_relation,easy,small,short,correct,1,0,0.0
multiplicative_relation,hard,large,long,correct,2,0,0.0
multiplicative_relation,medium,large,medium,correct,1,0,0.0
multiplicative_relation,medium,small,medium,wrong_formula,1,1,1.0
ratio_change,easy,medium,short,correct,1,0,0.0
ratio_change,easy,small,short,correct,2,0,0.0
ratio_change,hard,medium,long,correct,2,0,0.0
ratio_change,medium,medium,medium,correct,1,0,0.0
ratio_change,medium,small,medium,correct,1,0,0.0
temporal_numeric_constraint,easy,medium,long,correct,1,0,0.0
temporal_numeric_constraint,easy,small,long,correct,1,0,0.0
temporal_numeric_constraint,hard,medium,long,temporal_ordering,2,2,1.0
temporal_numeric_constraint,medium,medium,long,correct,2,0,0.0
weighted_aggregation,easy,small,long,correct,1,0,0.0
weighted_aggregation,easy,small,long,wrong_formula,1,1,1.0
weighted_aggregation,hard,small,long,wrong_formula,2,2,1.0
weighted_aggregation,medium,small,long,correct,2,0,0.0
