cell_id,method,replicate_index,selection_seed,train_seed,selection_manifest_sha256,analysis_status
v8_rep1_random_common_mix_train17,random_common_mix,1,1101,17,a2d0c1085ca0db7878f85d421c6f696ba19b3158555e11e8b9837f8c9d01fa42,included_in_audited_24_cell_analysis
v8_rep1_random_common_mix_train29,random_common_mix,1,1101,29,a2d0c1085ca0db7878f85d421c6f696ba19b3158555e11e8b9837f8c9d01fa42,included_in_audited_24_cell_analysis
v8_rep1_random_common_mix_train41,random_common_mix,1,1101,41,a2d0c1085ca0db7878f85d421c6f696ba19b3158555e11e8b9837f8c9d01fa42,included_in_audited_24_cell_analysis
v8_rep2_random_common_mix_train17,random_common_mix,2,1202,17,f5b6da35b88505a4d92e3a29056f5d0e0dbdb13eb5a636b4ec9cd1a56c4527ec,included_in_audited_24_cell_analysis
v8_rep2_random_common_mix_train29,random_common_mix,2,1202,29,f5b6da35b88505a4d92e3a29056f5d0e0dbdb13eb5a636b4ec9cd1a56c4527ec,included_in_audited_24_cell_analysis
v8_rep2_random_common_mix_train41,random_common_mix,2,1202,41,f5b6da35b88505a4d92e3a29056f5d0e0dbdb13eb5a636b4ec9cd1a56c4527ec,included_in_audited_24_cell_analysis
v8_rep3_random_common_mix_train17,random_common_mix,3,1303,17,55e61d09f36e8b1004c7aa13bac7ef1f7c2efb48b614914136a0ab23ae293d47,included_in_audited_24_cell_analysis
v8_rep3_random_common_mix_train29,random_common_mix,3,1303,29,55e61d09f36e8b1004c7aa13bac7ef1f7c2efb48b614914136a0ab23ae293d47,included_in_audited_24_cell_analysis
v8_rep3_random_common_mix_train41,random_common_mix,3,1303,41,55e61d09f36e8b1004c7aa13bac7ef1f7c2efb48b614914136a0ab23ae293d47,included_in_audited_24_cell_analysis
v8_rep4_random_common_mix_train17,random_common_mix,4,1404,17,660adfc7b95828ed7524d500f43b1d99d6f7cf665b75523bca6b3dfd7b34dc2a,included_in_audited_24_cell_analysis
v8_rep4_random_common_mix_train29,random_common_mix,4,1404,29,660adfc7b95828ed7524d500f43b1d99d6f7cf665b75523bca6b3dfd7b34dc2a,included_in_audited_24_cell_analysis
v8_rep4_random_common_mix_train41,random_common_mix,4,1404,41,660adfc7b95828ed7524d500f43b1d99d6f7cf665b75523bca6b3dfd7b34dc2a,included_in_audited_24_cell_analysis
v8_rep1_rds_error_common_mix_train17,rds_error_common_mix,1,101,17,7a900e19f528f2491e4ae29462cacd00d6d53eab05e2c0348533852470dc0d50,included_in_audited_24_cell_analysis
v8_rep1_rds_error_common_mix_train29,rds_error_common_mix,1,101,29,7a900e19f528f2491e4ae29462cacd00d6d53eab05e2c0348533852470dc0d50,included_in_audited_24_cell_analysis
v8_rep1_rds_error_common_mix_train41,rds_error_common_mix,1,101,41,7a900e19f528f2491e4ae29462cacd00d6d53eab05e2c0348533852470dc0d50,included_in_audited_24_cell_analysis
v8_rep2_rds_error_common_mix_train17,rds_error_common_mix,2,202,17,060aadae6e16b3bc7e7285b7f5364263cd22f44fac0704f2c75442e035ed560e,included_in_audited_24_cell_analysis
v8_rep2_rds_error_common_mix_train29,rds_error_common_mix,2,202,29,060aadae6e16b3bc7e7285b7f5364263cd22f44fac0704f2c75442e035ed560e,included_in_audited_24_cell_analysis
v8_rep2_rds_error_common_mix_train41,rds_error_common_mix,2,202,41,060aadae6e16b3bc7e7285b7f5364263cd22f44fac0704f2c75442e035ed560e,included_in_audited_24_cell_analysis
v8_rep3_rds_error_common_mix_train17,rds_error_common_mix,3,303,17,e95dc83b336dc3fc31c015d33a38b602ebd4cb9f29bcca4d382997cc3224949b,included_in_audited_24_cell_analysis
v8_rep3_rds_error_common_mix_train29,rds_error_common_mix,3,303,29,e95dc83b336dc3fc31c015d33a38b602ebd4cb9f29bcca4d382997cc3224949b,included_in_audited_24_cell_analysis
v8_rep3_rds_error_common_mix_train41,rds_error_common_mix,3,303,41,e95dc83b336dc3fc31c015d33a38b602ebd4cb9f29bcca4d382997cc3224949b,included_in_audited_24_cell_analysis
v8_rep4_rds_error_common_mix_train17,rds_error_common_mix,4,404,17,7f9b86f4899757d5689d5d0f3110eadd36d3327665642abc872b18395094ac4c,included_in_audited_24_cell_analysis
v8_rep4_rds_error_common_mix_train29,rds_error_common_mix,4,404,29,7f9b86f4899757d5689d5d0f3110eadd36d3327665642abc872b18395094ac4c,included_in_audited_24_cell_analysis
v8_rep4_rds_error_common_mix_train41,rds_error_common_mix,4,404,41,7f9b86f4899757d5689d5d0f3110eadd36d3327665642abc872b18395094ac4c,included_in_audited_24_cell_analysis
