task_family,difficulty_bucket,answer_magnitude_bucket,reasoning_length_bucket,error_type,count,failures,error_rate
multiplicative_relation,easy,medium,short,correct,2,0,0.0
multiplicative_relation,easy,small,short,correct,7,0,0.0
multiplicative_relation,hard,large,long,variable_binding,7,7,1.0
multiplicative_relation,hard,medium,long,variable_binding,1,1,1.0
multiplicative_relation,medium,large,medium,correct,1,0,0.0
multiplicative_relation,medium,large,medium,variable_binding,3,3,1.0
multiplicative_relation,medium,medium,medium,correct,1,0,0.0
multiplicative_relation,medium,medium,medium,variable_binding,1,1,1.0
multiplicative_relation,medium,small,medium,variable_binding,2,2,1.0
ratio_change,easy,medium,short,arithmetic_error,1,1,1.0
ratio_change,easy,medium,short,variable_binding,3,3,1.0
ratio_change,easy,small,short,correct,1,0,0.0
ratio_change,easy,small,short,variable_binding,4,4,1.0
ratio_change,hard,medium,long,arithmetic_error,1,1,1.0
ratio_change,hard,medium,long,variable_binding,2,2,1.0
ratio_change,hard,small,long,correct,3,0,0.0
ratio_change,hard,small,long,variable_binding,2,2,1.0
ratio_change,medium,medium,medium,arithmetic_error,2,2,1.0
ratio_change,medium,medium,medium,correct,1,0,0.0
ratio_change,medium,small,medium,correct,1,0,0.0
ratio_change,medium,small,medium,variable_binding,4,4,1.0
temporal_numeric_constraint,easy,medium,long,correct,2,0,0.0
temporal_numeric_constraint,easy,medium,long,temporal_ordering,3,3,1.0
temporal_numeric_constraint,easy,small,long,temporal_ordering,4,4,1.0
temporal_numeric_constraint,hard,medium,long,temporal_ordering,5,5,1.0
temporal_numeric_constraint,hard,small,long,temporal_ordering,3,3,1.0
temporal_numeric_constraint,medium,medium,long,correct,2,0,0.0
temporal_numeric_constraint,medium,medium,long,temporal_ordering,4,4,1.0
temporal_numeric_constraint,medium,small,long,temporal_ordering,2,2,1.0
weighted_aggregation,easy,small,long,arithmetic_error,2,2,1.0
weighted_aggregation,easy,small,long,variable_binding,7,7,1.0
weighted_aggregation,hard,small,long,variable_binding,8,8,1.0
weighted_aggregation,medium,small,long,variable_binding,8,8,1.0
