task_family,difficulty_bucket,answer_magnitude_bucket,reasoning_length_bucket,targeted_count,matched_random_count,count_delta
multiplicative_relation,easy,medium,short,0,5,-5
multiplicative_relation,easy,small,short,0,12,-12
multiplicative_relation,hard,large,long,37,0,37
multiplicative_relation,hard,medium,long,3,0,3
multiplicative_relation,medium,large,medium,14,0,14
multiplicative_relation,medium,medium,medium,0,11,-11
ratio_change,easy,medium,short,0,8,-8
ratio_change,easy,small,short,0,5,-5
ratio_change,hard,medium,long,0,6,-6
ratio_change,hard,small,long,26,0,26
ratio_change,medium,medium,medium,0,5,-5
ratio_change,medium,small,medium,2,8,-6
temporal_numeric_constraint,easy,medium,long,0,8,-8
temporal_numeric_constraint,easy,small,long,0,5,-5
temporal_numeric_constraint,hard,medium,long,22,0,22
temporal_numeric_constraint,hard,small,long,19,0,19
temporal_numeric_constraint,medium,medium,long,0,8,-8
temporal_numeric_constraint,medium,small,long,1,6,-5
weighted_aggregation,easy,medium,long,0,1,-1
weighted_aggregation,easy,small,long,0,9,-9
weighted_aggregation,hard,medium,long,0,1,-1
weighted_aggregation,hard,small,long,2,15,-13
weighted_aggregation,medium,medium,long,0,1,-1
weighted_aggregation,medium,small,long,2,14,-12
